pergunta,ocorrencias,nao_satisfatorio
Does the news release adequately discuss the costs of the intervention?,606,494
Does the news release adequately explain/quantify the harms of the intervention?,606,450
Does the news release adequately quantify the benefits of the treatment/test/product/procedure?,606,444
Does the news release commit disease-mongering?,606,73
Does the news release compare the new approach with existing alternatives?,606,335
Does the news release establish the availability of the treatment/test/product/procedure?,606,196
Does the news release establish the true novelty of the approach?,606,228
Does the news release identify funding sources & disclose conflicts of interest?,606,315
"Does the news release include unjustifiable, sensational language, including in the quotes of researchers?",606,228
Does the news release seem to grasp the quality of the evidence? ,606,441
Does the story adequately discuss the costs of the intervention?,1689,936
Does the story adequately explain/quantify the harms of the intervention?,1690,963
Does the story adequately quantify the benefits of the treatment/test/product/procedure?,1690,1061
Does the story appear to rely solely or largely on a news release?,1690,163
Does the story commit disease-mongering?,1690,213
Does the story compare the new approach with existing alternatives?,1690,785
Does the story establish the availability of the treatment/test/product/procedure?,1690,341
Does the story establish the true novelty of the approach?,1690,444
Does the story seem to grasp the quality of the evidence? ,1690,1004
Does the story use independent sources and identify conflicts of interest?,1690,820
