Titulo,Subtitulo,Noticia,Categoria,Data,Autor,URL,Classe
Equador prepara cova coletiva para mortos por covid-19 em Guaiaquil  ,,o governar equador anunciar preparar cova coletiva cemitério enterrar morto coronavírus cidade guaiaquil país divulgar o sepultura ficar pronto o redar ecuavisa sepulcro construir homenagem s vítima o governar federal negociar o prefeitura quaiaquil o cova o manhã hoje o cidade registrar caso confirmar covid-19 o município atingir vírus o país ministrar interior maría paula romo declarar entrevisto redar agência funerário trabalhar disponível função tocar recolher impor presidente lenín moreno,saúde,27/03/2020 18h25 ,27/03/2020 18h25 ,https://noticias.uol.com.br/internacional/ultimas-noticias/2020/03/27/equador-prepara-cova-coletiva-para-mortos-por-covid-19-em-guaiaquil.htm,1
Air France voltará a operar voo direto Pequim-Paris  ,,o companhia air france operar voar direto pequim e parir agostar o o capital chinês e o europa o fechamento conexão aéreo pandemia coronavírus diferente fonte n sexta-feira dever s norma sanitário chinês o voar destinar o tianjin o cercar quilômetros pequim voltar o voar aeroporto pequim capital o air france confirmar informação embaixada frança chino o voar semanal empresar o frança e o chino atualmente o companhia aéreo operar conexão semanal o aeroporto parir charlar gaulle e xangai o frança o país união europeu o voar direto pequim o embaixada mensagem o residente francês,saúde,07/08/2020 13h42 ,07/08/2020 13h42 ,https://www.uol.com.br/nossa/noticias/afp/2020/08/07/air-france-voltara-a-operar-voo-direto-pequim-paris.htm,1
Marfrig intensifica venda de carne do Brasil aos EUA após fechamentos por covid-19  ,,o marfrig global foods retomar vender carnar bovino in natura brasil o unir o reabertura mercar norte-americano o o produto brasileiro intensificação demandar o fechamento frigorífico n país causar coronavírus o diretor-presidente companhia reuters miguel gularte o mercar norte-americano reaberto aquisição proteína in natura brasileiro fevereiro d ano interrupção exportação ocorrido sanitário e embarque longo período ocorrer n afirmar gularte o executivo aumentar comprar eua identificar primeiramente unidade marfrig argentino e uruguai dia notar brasil o executivo detalhar volume,saúde,27/04/2020 14h53 ,27/04/2020 14h53 ,https://economia.uol.com.br/noticias/reuters/2020/04/27/entrevista-marfrig-intensifica-venda-de-carne-do-brasil-aos-eua-apos-fechamentos-por-covid-19.htm,1
Coronavírus: sindicatos dos inquilinos convocam greve de aluguel na Espanha  ,,greve pagamento aluguel organizar sindicato inquilino catalunha e madri dia 1º abril o movimentar focar ajudar família pequeno comerciante e trabalhador autônomos afetados pandemia coronavírus informação agência notícia efe o greve marcar pressionar o governar assegurar o pagamento aluguel resultar ações punitivo estima-se cercar pessoa diariamente relatar conseguir pagar aluguel abril acordar entidade pequeno proprietário depender render inquilino afetados e o ajudá-los render básico,saúde,30/03/2020 10h38 ,30/03/2020 10h38 ,https://noticias.uol.com.br/internacional/ultimas-noticias/2020/03/30/coronavirus-sindicatos-dos-inquilinos-convocam-greve-na-espanha.htm,1
Os cheiros que podem desaparecer para sempre,"Aromas da vida cotidiana, como o cheiro do café torrado e de livros antigos, fazem parte da nossa cultura – mas muitos deles não são preservados.",imaginar livrar passar ano guardar estante folhear página amarelar o poeira espalhar ar e começar o lê-lo cheirar inconfundível invadir narina aromar familiar mero prazer amante sebo e biblioteca cheirar cultural – e correr o riscar extinção o livrar antigo desfazer jogar colocar sala temperatura controlar tornar difícil sentir aromar problema exclusivo livro – perfumaria bar cidade inteiro panar fundir profusão aromar constante mutação,ciência, 16/07/2020 18h10 , Por BBC ,https://g1.globo.com/ciencia-e-saude/noticia/2020/07/16/os-cheiros-que-podem-desaparecer-para-sempre.ghtml,1
"

Vacina contra Covid-19 faz imunidade do corpo diminuir e chance de infecção aumentar #boato 
",Boato – Imunidade do corpo diminui após pessoa tomar duas doses da vacina contra Covid-19 e chance de se infectar pelo coronavírus aumenta. ,“ reação vacinar entender facilidade pessoa infectar o dosar vacinar corona texto original inglês autoria informar tradução google translator valer o peno o razão pessoa ficar infectar tomar dose vacinar corona – o dosar administrar 21/28 dia o dosar vacinar corona – o vacinar comedir o formar anticorpo imediatamente entrar corpo – anticorpo formar corpo imunidade diminuir – tomar o dosar vacinar 21/28 dia imunidade diminuir – dia o dosar anticorpo completamente formar corpo imunidade comedir o crescer rapidamente – durante e dever imunidade chance vírus corona entrar corpo alto dever o exposição o o vírus n vulnerável pessoa infecto – o tornar arriscar sair casar durante e – tomar dose vacinar tornar vítima corona – e o imunidade corpo aumentar o o segurar – preciso cuidadoso e segurar e o dosar – certifique-se máscara – sair casar necessário ”,saúde,27/04/2021,"
Kyene Becker ",https://www.boatos.org/saude/vacina-contra-covid-19-faz-imunidade-diminuir-chance-infeccao-aumentar.html,0
"Rio Grande do Norte recebe mais 81,7 mil doses de vacina covid-19",,o ministério saudar coordenar sábado 20/03 e n domingo 21/03 o distribuição milhão dose vacinar covid-19 o país e distrito federal comedir o receber lote imunizante proporcional e igualitário juntar indicação público-alvo fase campanha o planar nacional operacionalização vacinar o covid-19 rir norte receber 81.700 dose vacinar instituto butantan e astrazeneca – produzir brasil fundação oswaldo cruz fiocruz o informar técnico secretariar vigilância saudar svs divulgar pastar o remessar atender profissional saudar e idoso e ano dose imunizante astrazeneca direcionadas imunizar comunidade ribeirinho e quilombolas estratégia definir considerar o prazo o aplicação dosar imunizante fiocruz possuir intervalar semana facilitar o cumprimentar esquema vacinal locar difícil acesso,saúde,22/03/2021 08h03, ,https://www.gov.br/saude/pt-br/assuntos/noticias/rio-grande-do-norte-recebe-mais-81-7-mil-doses-de-vacina-covid-19,1
Ministério da Saúde conta com parceria da GOL Linhas Aéreas para distribuir vacinas pelo Brasil,,o governar federal contar logístico gol e gollog levar significativo dose vacinar o voo significativo imunizante instituto butantan guarulhos sp segunda-feira 18/01 destinar o curitiba pr e rir janeiro rj centro econômicos e densidade populacional o parceria o companhia aéreo e o ministério saudar permitir agilidade entregar insumo o custar o união comunicar o gol garantir o empresar preparar desempenhar importante papel “ completamente preparar cumprir importante missão malhar aéreo abrangente rir janeiro e câmara frio exclusivo terminal carga paulo ” informar parceria,saúde,19/01/2021 20h03,Ministério da Saúde(61) 3315-3587 / 3580,https://www.gov.br/saude/pt-br/assuntos/noticias/ministerio-da-saude-conta-com-parceria-da-gol-linhas-aereas-para-distribuir-vacinas-pelo-brasil,1
"Coronavírus: triagem em navios e aviões será feita quando houver caso suspeito, informa Anvisa","Notificação de sintomas é compulsória, disse diretor-presidente da Agência Nacional de Vigilância Sanitária. Por enquanto, órgão reforçou ações de informação em portos e aeroportos.",o agência nacional vigilância sanitário anvisa informar n segunda-feira n haver necessidade triagem compulsório avião navio medir evitar o entrar coronavírus país o diretor-presidente anvisa antonio barrir torre afirmar o triagem feito haver notificação casar suspeitar tripulante passageiro sintoma doença e passar chino barrir destacar o notificação sintoma compulsório e punir “ compulsório caso notificação feito o equipar acesso quele veículo efetuar triagem inicial e verificar haver subsídio mínimo justificar medir tratar ficar escolher comandante navio compelir forçar diplomar legar reger o profissão d o notificação ” afirmar,ciência, 27/01/2020 18h18 , Por G1 — Brasília ,https://g1.globo.com/ciencia-e-saude/noticia/2020/01/27/coronavirus-triagem-em-navios-e-avioes-sera-feita-quando-houver-caso-suspeito-informa-anvisa.ghtml,1
"
  A CoronaVac ainda não foi avaliada por agências reguladoras dos EUA e da UE","Publicações que afirmam que a vacina CoronaVac é proibida nos Estados Unidos e na Europa circulam pelas redes sociais pelo menos desde o último 4 de maio, com mais de 2,6 mil compartilhamentos. Essa afirmação, entretanto, é falsa porque a agência reguladora europeia ainda analisa a segurança e eficácia do imunizante, enquanto o órgão correspondente nos Estados Unidos não fez sua avaliação até o momento. Envie-nos por WhatsApp Email",“ coronavac proibir sic eua e europa bolsonaro querer o vacinar chinês ” o texto imagem compartilhar facebook e instagram o alegação circular juntar o reportagem jornal record certificar vacinação adotado união europeu o notícia o parlamentar europeu aprovar o restrição viajante vacinar imunizante autorizar órgão regulador bloco econômico o medir estender quele imunizar o coronavac laboratório chinês sinovac entanto o o contrário afirmar publicação referência resistência presidente jair bolsonaro vacinar produzir chino imunizante proibir regulador americano e europeu avaliar efeito,saúde,13/05/2021 às 22:35,AFP Brasil,https://checamos.afp.com//coronavac-ainda-nao-foi-avaliada-por-agencias-reguladoras-dos-eua-e-da-ue,0
AstraZeneca anuncia atraso em envios de vacinas para a União Europeia  ,,"londres mar afp o gigante farmacêutico astrazeneca anunciar hoje atrasar envio vacinar anticovid-19 o união europeu golpe o esforço acelerar o vacinação persistir temor sanitário produto defender oms o companhia alegar problema produção e restrição exportação justificar atraso país suspender n semana o aplicação produto astrazeneca medo formação coágulo sangue apesar o organização mundial saudar oms garantir sexta-feira haver motivar deixar vacinar o covid-19 doença causar 2,6 milhão morte planeta",saúde,13/03/2021 20h53 ,13/03/2021 20h53 ,https://noticias.uol.com.br/ultimas-noticias/afp/2021/03/13/ue-sofre-atraso-na-entrega-de-vacinas-astrazeneca-recomendado-pela-oms-em-meio-a-polemicas-sobre-efeitos-colaterais.htm,1
DF incia agendamento para vacinar outros profissionais ligados à saúde  ,,o secretariar saudar distrito federal manhã hoje o agendamento dosar vacinar o covid-19 profissional saudar instituto médico legal e registrar e entidade representativo biologia nutrição educação físico fisioterapia e terapia ocupacional fonoaudiologia psicologia técnico radiologia enfermagem medicinar odontologia biomedicina veterinário serviço social farmácia e agente funerário o expectativa o vacinar etapa cercar profissional fase o março fase seguinte definir o recebimento dose o fase adicionar total profissional cadastrar informar o secretariar o vacinação funcionar seguinte e entidade representativo d categoria profissional enviar secretariar saudar df lista conter nome cpf e registrar profissional integrante o cadastrar d lista o agendamento disponibilizar site,saúde,25/03/2021 10h24 ,25/03/2021 10h24 ,https://noticias.uol.com.br/ultimas-noticias/agencia-brasil/2021/03/25/df-faz-agendamento-para-vacinar-outros-profissionais-ligados-a-saude.htm,1
Mais de 90% dos leitos de hospitais de Tóquio para pacientes de Covid-19 estão ocupados  ,,"tóquio reuters leito hospital separar paciente covid-19 tóquio ocupar o ministério saudar japão n domingo sublinhar o necessidade urgente limitar o disseminação coronavírus o ministério afirmar 1.830 paciente covid-19 hospitalizar capital abril 91,6 2.000 leito disponível paciente o governar metropolitano tóquio aumentar o leito paciente covid-19 4.000 algum haver o possibilidade o vírus espalhar necessário aproximar o leito atuais 2.000 objetivo rapidamente reuters autoridade ministério saudar",saúde,10/05/2020 14h40 ,10/05/2020 14h40 ,https://noticias.uol.com.br/ultimas-noticias/reuters/2020/05/10/mais-de-90-dos-leitos-de-hospitais-de-toquio-para-pacientes-de-covid-19-estao-ocupados.htm,1
Áudio vazado de suposto assessor do governador do Ceará é falso,,envolvido negar o conteúdo áudio e o nome ricardo certi constar lista servidor estadual cear encontrar buscar o único nome semelhante encontrar riccardo certi barítono italiano bréscia,saúde,2020/03/31,Comprova,https://projetocomprova.com.br/publicações/audio-vazado-de-suposto-assessor-do-governador-do-ceara-e-falso/,0
Jogadores precisarão treinar de máscara no retorno do futebol inglês  ,,o retornar futebol simples o pandemia coronavírus clube jogador e torcedor rotina diferente e d treinar utilizar máscara o sky sports prever projeto recomeçar campeonato inglês determinação planar encabeçar médico mark gillet utilização máscara durante atividades jogador equipamento trabalhar cone gps e chuteira objetos desinfetados o atividade terminar precisar estacionar carro distanciamento vestiário controlar e o treino precisar respeitar limitação orientação estabelecido converso médico espanha e alemanha seguir rotina semelhante o o longo período retornar jogador passar teste coronavírus retomar treino e avaliar o dia regrar precisar aprovar clube jogador e governar entrar vigor,saúde,30/04/2020 08h38 ,"Do UOL, em Porto Alegre",https://www.uol.com.br/esporte/futebol/ultimas-noticias/2020/04/30/jogadores-precisarao-treinar-de-mascara-no-retorno-do-futebol-ingles.htm,1
Estudo com hidroxicloroquina não comprova eficácia no ‘tratamento precoce’,,enganoso postagem o twitter associar estudar pré-publicado revisão parir utilização hidroxicloroquina o tratamento precoce o covid-19 defender bolsonaro e apoiadores d o estudar realizar paciente gravar,saúde,2021-06-15,Comprova,https://projetocomprova.com.br/publicações/estudo-com-hidroxicloroquina-nao-comprova-eficacia-no-tratamento-precoce/,0
