dataset,news_id,rating,title,original_title,news_source,source_link,review_link
HealthStory,story_reviews_00000,1,Guardian jumps to conclusions about an Alzheimer’s study that hasn’t even begun,Virtual reality to help detect early risk of Alzheimer’s,The Guardian,https://www.theguardian.com/society/2018/dec/16/alzheimers-dementia-cure-virtual-reality-navigation-skills,https://www.healthnewsreview.org/review/guardian-jumps-to-conclusions-about-an-alzheimers-study-that-hasnt-even-begun/
HealthStory,story_reviews_00001,3,"In story on experimental contraceptive gel, Reuters lets drug company control the narrative",Evofem's birth control gel meets main study goal; shares rise,Reuters,https://www.reuters.com/article/us-evofem-study/evofems-birth-control-gel-meets-main-study-goal-shares-rise-idUSKBN1OG17J,https://www.healthnewsreview.org/review/in-story-on-experimental-contraceptive-gel-reuters-lets-drug-company-control-the-narrative/
HealthStory,story_reviews_00002,2,"Using a single patient anecdote, ABC News hails DNA fertility test as ‘breakthrough’",How a breakthrough new fertility test is offering hope for families who have suffered miscarriages,ABCNews.com,https://abcnews.go.com/GMA/Wellness/breakthrough-fertility-test-offering-hope-familys-suffered-miscarriages/story?id=59811741,https://www.healthnewsreview.org/review/using-a-single-patient-anecdote-abc-news-hails-dna-fertility-test-as-breakthrough/
HealthStory,story_reviews_00003,2,Hard to find the journalism in this brief Reuters story on clinical trial results for psoriasis drug,J&J says its psoriasis drug superior to Novartis' in study,Reuters,https://www.reuters.com/article/us-j-j-drug-psoriasis/jj-says-its-psoriasis-drug-superior-to-novartis-in-study-idUSKBN1OB1D3,https://www.healthnewsreview.org/review/hard-to-find-the-journalism-in-this-brief-reuters-story-on-clinical-trial-results-for-psoriasis-drug/
HealthStory,story_reviews_00004,5,A little more context would have boosted already-strong HealthDay story on drug for hot flashes, Incontinence Drug May Cut Hot Flashes in Breast Cancer Survivors,Health Day,https://consumer.healthday.com/women-s-health-information-34/menopause-and-postmenopause-news-472/incontinence-drug-may-cut-hot-flashes-in-breast-cancer-survivors-740325.html,https://www.healthnewsreview.org/review/a-little-more-context-would-have-boosted-already-strong-healthday-story-on-drug-for-hot-flashes/
HealthStory,story_reviews_00005,4,Props to NPR for highlighting the need for balanced decision-making around statins,"Before Starting A Statin, Talk It Over With Your Doctor",NPR,https://www.npr.org/sections/health-shots/2018/12/03/672990317/before-starting-a-statin-talk-it-over-with-your-doctor,https://www.healthnewsreview.org/review/props-to-npr-for-highlighting-the-need-for-balanced-decision-making-around-statins/
HealthStory,story_reviews_00006,3,Independent source injects caution into a HeathDay story on ‘nerve zap’ for back pain,Nerve Zap Might Ease Pain of Herniated Disk,Health Day,https://consumer.healthday.com/bone-and-joint-information-4/backache-news-53/nerve-zap-might-ease-pain-of-herniated-disk-739976.html,https://www.healthnewsreview.org/review/independent-source-injects-caution-into-a-heathday-story-on-nerve-zap-for-back-pain/
HealthStory,story_reviews_00007,1,"Newsweek trumpets an ‘aggressive’ new cancer drug, but where’s the data?",CURE FOR CANCER? FDA ANNOUNCES NEW AGGRESSIVE DRUG ATTACKING ORIGINATING GENES,Newsweek,https://www.newsweek.com/cancer-cure-fda-announces-new-aggressive-drug-attacking-originating-genes-1232329,https://www.healthnewsreview.org/review/newsweek-trumpets-an-aggressive-new-cancer-drug-but-wheres-the-data/
HealthStory,story_reviews_00008,3,USA Today provides rosy speculation about an Alzheimer’s vaccine not yet tested in humans,"Researcher: Alzheimer's vaccine could cut dementia in half, human trials may be next",USA Today,https://www.usatoday.com/story/tech/science/2018/11/24/alzheimers-vaccine-aims-cut-dementia-half-may-see-human-trials/2097609002/,https://www.healthnewsreview.org/review/usa-today-provides-rosy-speculation-about-an-alzheimers-vaccine-not-yet-tested-in-humans/
HealthStory,story_reviews_00009,5,CNN delivers a balanced report on peanut allergy treatment,"Experimental treatment helps 2 out of 3 peanut allergy sufferers, study finds",CNN,https://www.cnn.com/2018/11/18/health/peanut-allergy-treatment-study/index.html,https://www.healthnewsreview.org/review/cnn-delivers-a-balanced-report-on-peanut-allergy-treatment/
