original_file_id,press_release_conclusion,press_release_strength,abstract_conclusion,abstract_strength,exaggeration_label
25-002,"Use of the urgent referral pathway (often called the two week wait system) by general practices for patients with suspected cancer is saving lives, according to a study in The BMJ this week.",3,Use of the urgent referral pathway could be efficacious.,2,exaggerates
22-001,"Dementia patients from more affluent areas in England are 27% more likely to be prescribed anti-dementia drugs than patients from poorer areas, finds a new UCL study of 77,045 dementia patients across the UK. This inequality was not seen in Scotland, Northern Ireland or Wales.",1,"Least deprived patients were 25% more likely to be initiated on anti-dementia drugs than the most deprived (adjusted incidence rate ratio 1.25, 95% confidence interval 1.19–1.31).",1,same
26-002,"Meeting patients' preferences for the time and place of their psychological treatment may affect their perception of treatment outcome, a cross-sectional survey by researchers from the Royal College of Psychiatrists and Imperial College London involving 14,587 respondents suggests.",2,People who reported preferences that were not met were less likely to state that treatment had helped them with their problems.,1,exaggerates
19-11-004-1,Crossing your arms relieves pain,3,"Besides studies showing relief of phantom limb pain using mirrors, this is the first evidence that impeding the processes by which the brain localises a noxious stimulus can reduce pain, and that this effect reflects modulation of multimodal neural activities.",2,exaggerates
25-027,"Oral contraceptive use just before or during pregnancy is not associated with an increased risk of major birth defects, suggest the findings of a study published in The BMJ this week.",0,"Residual confounding was possible, and the analysis lacked information on folate, one of the proposed mechanisms.",0,same
33-001,"Scientists at the UCL Institute of Ophthalmology have identified the mechanism behind a common inherited cause of severe sight loss in young children. The results also point to a potential new treatment that may be possible to deliver by simple injection to the eye. The research was funded by charities Fight for Sight, Moorfields Eye Charity and Guide Dogs, with support from the National Institute for Health Research (NIHR) Biomedical Research Centre (BRC) at Moorfields Eye Hospital.",3,These results provide a mechanistic understanding of the retina-specific phenotypes in CEP290 LCA patients and potential strategies for therapeutic intervention.,2,exaggerates
26-035,"Three-quarters of people aged 65 and over in the US would take a test telling them they were going to develop Alzheimer's disease if such a test existed, according to research published in the open access journal Alzheimer's Research and Therapy.",0,"In this nationally representative sample, 75% of older adults would take a free and definitive test predictive of Alzheimer’s disease.",0,same
03-11-021-1,Research finds connection between impulsivity and superstitions in pathological gamblers.,1,"Impulsive choice in the gamblers was correlated with the level of gambling distortions, and we hypothesize that an impulsive decision-making style may increase the acceptance of erroneous beliefs during gambling play.",1,same
25-047,"Drinking a lot of coffee every day--more than 900 ml (30 fluid ounces) or around six cups--is linked to a reduced risk of multiple sclerosis (MS), finds research published online in the Journal of Neurology Neurosurgery & Psychiatry.",1,"In accordance with studies in animal models of MS, high consumption of coffee may decrease the risk of developing MS.",2,downplays
03-11-040-1,A new study has found that protein and not sugar activates the cells responsible for keeping us awake and burning calories.,3,Physiological mixtures of AAs electrically excited orx/hcrt cells through a dual mechanism involving inhibition of K(ATP) channels and activation of system-A amino acid transporters.,3,same
25-125,"Living on a farm in early childhood is linked to a lower risk of allergies as an adult, and stronger lungs in women, than growing up in either a rural or urban area, finds research published online in the journal Thorax.",1,This is the first study to report beneficial effects of growing up on a farm on adult FEV1.,3,downplays
04-11-017-1,"People experiencing the early signs of Parkinson’s disease could see their symptoms improved through a process of regulating and re-training how their brains respond to certain activities and actions, new University research has uncovered.",2,These findings demonstrate that self-modulation of cortico-subcortical motor circuits can be achieved by PD patients through neurofeedback and may result in clinical benefits that are not attainable by motor imagery alone.,2,same
25-092,"A small rise in duty imposed on alcohol sold in retail outlets, pubs and restaurants, of just 1% above inflation, might cut violence-fuelled emergency care department visits in England and Wales by an annual 6000, suggests research published online in Injury Prevention.",2,"Small increases in the price of alcohol, above inflation, in both markets, would substantially reduce the number of patients attending EDs for treatment of violence-related injuries in England and Wales.",3,downplays
12-11-028-1,Talking therapy over the phone improves symptoms of chronic widespread pain,3,"TCBT was associated with substantial, statistically significant, and sustained improvements in patient global assessment.",1,exaggerates
01-11-019-1,The researchers have discovered that drinking alcohol in a context that is unknown can lead people to behave in a more disinhibited way than if they had been drinking in a familiar environment.,2,Repeated consumption of alcohol in a par- ticular environment can lead to the emergence of a context-specific CCR that counters some of alcohol's disinhibitory effects.,2,same
29-002,Researchers from the University of Leicester and Leicester’s Hospitals have announced a breakthrough advance in the results of the world-first clinical trial with actual patients of a new drug to treat particular blood cancers.,3,ONO/GS-4059 has significant activity in relapsed/refractory B-cell malignancies without major drug-related toxicity.,3,same
15-11-014-1,"Having a good laugh with friends really does help us to deal with pain, suggests a new study.",3,The results show that pain thresholds are significantly higher after laughter than in the control condition.,1,exaggerates
19-11-012-1,"Children with thinner parents are three times more likely to be thin than children whose parents are overweight, according to a new study by UCL researchers.",1,The strongest predictor of child/adolescent thinness was parental weight status.,1,same
29-033,University of Leicester team show leached juices from leafy vegetables enhance growth and virulence of food poisoning bug,3,"Collectively, the results presented in this report show that exposure to even traces of salad leaf juice may contribute to the persistence of Salmonella on salad leaves as well as priming it for establishing an infection in the consumer.",2,exaggerates
07-11-027-1,"Babies and toddlers with congenital heart disease are at an increased risk of having harmful toxins in their blood, particularly following surgery, according to research by a team at Imperial College London.",1,Children undergoing surgery for congenital heart disease are at increased risk of intestinal mucosal injury and endotoxemia.,1,same
15-11-023-1,"Importantly, the mutation in the CYP27B1 gene affects a key enzyme which leads people with the variant to have lower levels of vitamin D, adding weight to the suggested link between vitamin D and MS.",1,"CYP27B1 encodes the vitamin D-activating 1-alpha hydroxylase enzyme, and thus a role for vitamin D in MS pathogenesis is strongly implicated.",3,downplays
