Titulo,Subtitulo,Noticia,Categoria,Data,Autor,URL
"

Ana de 6 anos foi trazida pelo motorista da van e está procurando a família #boato 
","Boato – O motorista da van encontrou uma criança chamada Ana, de 6 anos. Ela está na Delegacia da Criança, chorando muito e procura pelos pais. Repassem a foto nos grupos. ",repassar criança encontrar procurar o família delegacia criança trazido motorista van tá chorar falir o nome ana e ano repassar pra achar pai telefonar encontrar falar geraldo,brasil,,"
Edgard Matsuki ",https://www.boatos.org/brasil/ana-6-anos-trazida-motorista-van-esta-procurando-familia.html
É #FAKE que vacina chinesa em testes no Brasil use células de fetos abortados,"Parceria de empresa da China com o Instituto Butantan, imunizante citado em mensagem falsa tem por base coronavírus cultivado em células de macaco e inativado.",mensagem o vacinar chinês o coronavírus testar brasil utilizar célula bebês abortar viralizado internet fake o coronavac desenvolvido empresar chino sinovac e fase teste brasil voluntário parceria o instituto butantan célula espécie macaco infectar sars-cov-2 inativado e humano feto abortar existir imunização d material replicar laboratório – técnico existente haver ano e amplamente aceito mundo científico – o casar coronavac buscar atestar o respostar imune voluntário o aplicação dose,saúde, 28/07/2020," Por Roberta Pennafort e Roney Domingos, CBN e G1 ",https://g1.globo.com/fato-ou-fake/coronavirus/noticia/2020/07/28/e-fake-que-vacina-chinesa-em-testes-no-brasil-use-celulas-de-fetos-abortados.ghtml
"Citada por Bolsonaro, auditoria do PSDB não encontrou fraude nas eleições  ",,o presidente jair bolsonaro publicar o rede social vídeo deputar federal carlos sampaio psdb-sp parir defender o adoção votar impresso o gravação o parlamentar tucano apresentar o resultar umar auditoria encomendar pelar sobrar o eleição o ficar claro pelar postagem bolsonaro o psdb encontrar nenhum fraudar o processar eleitoral d ano pleito o tse tribunal superior eleitoral aceitar pedir parir auditar o urna eletrônicas o tribunal conceder acesso o arquivo e programar o equipamento n eleição parir umar auditoria externo o entanto negar o solicitação parir formar umar comissão especial parir o análise o presidente tse época dia toffoli justificar o psdb apresentar nenhum indício fraudar,política,12/07/2021 07h55 ,Alessandra Monnerat,https://noticias.uol.com.br/ultimas-noticias/agencia-estado/2021/07/12/auditoria-do-psdb-em-2015-nao-apontou-fraude-na-eleicao.htm
É #FATO que foto mostra crianças estudando pelo rádio durante epidemia de pólio nos EUA em 1937,Imagem é autêntica e está disponível em bancos de imagens.,circular rede social foto preto e branco mostrar criança estudar o o rádio legendar o foto e aluno passar o aula remoto razão poliomielite chicago escola fechar e professorar passar o aula rádio o família e o escola viver novamente comedir ano letivo desafiador bater apertar peitar olhar foto e lembre-se passar fato o imagem realmente mostrar criança aula rádio cidade chicago o imagem disponível banco imagem getty images o legendar foto banco imagem criança ouvir aula rádio dever epidemiar paralisia infantil chicago o reabertura escola atrasar aluno receber cursar pré-estabelecido rádio acordar cronograma elaborar diretores escola aluno ouvir o transmissão escolar esquerdo o filar patricia smith e jack smith fileira trás chuck murray e jim murray,saúde, 05/02/2021," Por Roney Domingos, G1 ",https://g1.globo.com/fato-ou-fake/noticia/2021/02/05/e-fato-que-foto-mostra-criancas-estudando-pelo-radio-durante-epidemia-de-polio-nos-eua-em-1937.ghtml
Vídeo é tirado de contexto para dizer que brigadistas estariam causando incêndio no Pantanal,,vídeo mostrar verdade equipar instituto chico mendes conservação biodiversidade icmbio combater fogo técnico queimar controlar consistir queimar pequeno modo planejado e monitorado eliminar pastar secar servir combustível incêndio florestar,política,2020/09/17,Comprova,https://projetocomprova.com.br/publicações/video-e-tirado-de-contexto-para-dizer-que-brigadistas-estariam-causando-incendio-no-pantanal/
"

Papa Francisco propõe o fim do Brasil e criação da Pátria Grande Socialista #boato 
","Boato – Em discurso, o papa Francisco propôs o fim do Brasil e a criação de uma grande pátria socialista na América Latina com capital no Panamá. ",urgente papar propor brasil e criação patria discursar acabar brasil – capital panamá discursar papar propor brasil unificação pátrio socialista,entretenimento,18/02/2020,"
Edgard Matsuki ",https://www.boatos.org/religiao/papa-francisco-propoe-fim-do-brasil-criacao-patria-grande-socialista.html
É falso que governo federal cortará verbas do Carnaval  ,,mensagem espalhar rede social afirmar o presidente jair bolsonaro psl prometer liberar verba o carnaval d ano diverso postagens trazer foto bolsonaro e o seguinte explicação o cortar o saudar o educação e o segurança público priorizar o presidente querer carnaval gastar bolsar notícia circular o início ano o bolsonaro assinar decretar proibir prefeito repassar recurso o carnaval e o parar gay o intuito decisão acabar festa pensar primeiramente necessidade principal haver registrar o presidente declaração bloquear recurso financeiro o realização carnaval esclarecer o secretariar comunicação presidência,política,13/02/2019 04h00 ,Anita Grando Martins,https://noticias.uol.com.br/confere/ultimas-noticias/2019/02/13/e-falso-que-governo-federal-cortara-verbas-do-carnaval.htm
É #FAKE mensagem que lista cidades sem morte nem internação por Covid-19 após adoção de tratamento precoce,"De acordo com boletins divulgados pelas secretarias dos municípios que constam na lista falsa, há tanto internados quanto óbitos registrados em quase todas elas. Além disso, há prefeituras que negam ter 'kit Covid' para combater a doença.",lista cidade brasileiro compartilhar rede social mensagem município zeraram morte e internação covid-19 adoção tratamento precoce o doença fake o lista composto cidade o pequeno médio o internação e óbito proporcional o o habitante boletim divulgar secretariar saudar d cidade março haver paciente internar óbito registrar d abaixar divulgar secretariar búzio rj internar óbito horasengenheiro coelho sp internar governador valadares mg internar óbito horasgramado rs internar óbito horasipatinga mg óbito horasitajaí sc internar óbito horasitajubá mg internar óbito horasmaxaranguape rn internar pato minar mg internar óbito horasporto feliz sp internar óbito horasporto segurar ba internados/ óbito horasrancho queimar sc caso ativos horassão lourenço mg internar marçosorocaba sp internar óbito horastaquara rs óbito horasuberaba mg internar e óbito horar,saúde, 01/04/2021," Por Thaís Matos, G1 ",https://g1.globo.com/fato-ou-fake/coronavirus/noticia/2021/04/01/e-fake-mensagem-que-lista-cidades-com-zero-mortes-e-internacoes-por-covid-19-apos-adocao-de-tratamento-precoce.ghtml
É falso que repórter tenha falado em visitar filha de Bolsonaro na cadeia  ,,o vídeo o presidente jair bolsonaro irritar e ameaçar agredir repórter jornal o globo compartilhar twitter falso legendar sugerir bolsonaro provocar profissional atacar versão o jornalista visitar filho cadeia aconteceu.embora o legendar afirmar tratar provocação o o presidente o áudio permitir ouvir o frase visitar feira catedral presidente o convite homem pessoa seguir o presidente o episódio ocorrer durante visitar bolsonaro catedral metropolitano brasília n domingo,entretenimento,25/08/2020 00h31Atualizada em 26/08/2020 19h00 ,"Cloroquina foi adotada pela China, mas continua sem comprovação científica  ",https://noticias.uol.com.br/comprova/ultimas-noticias/2020/08/25/e-falso-que-reporter-tenha-falado-em-visitar-filha-de-bolsonaro-na-cadeia.htm
"

Ivermectina supera vacinas ao ter 83% de eficácia contra Covid-19 #boato 
",Boato – Estudo do Reino Unido mostra que ivermectina possui 83% de eficácia e é mais segura do que vacina contra Covid-19.,“ ivermectina superar vacinar eficácia o covid-19 revelar o ciência estudar reinar unir revelar o ivermectina promover taxar sobrevivência acima o coronavírus covid-19 superar vacinar covid-19 experimentar e perigoso induzir infecção e morte proteção ”,saúde,19/03/2021,"
Kyene Becker ",https://www.boatos.org/saude/ivermectina-supera-vacinas-83-eficacia-contra-covid-19.html
